HR,January,February,March,April,May,June,July,August,September,October,November,December
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,76,2470,4106,10788,2843,0,47,0,11,0
9,925,5198,13677,45987,67498,44311,10667,1657,374,2478,11488,1791
10,12501,65354,78270,135343,200409,54612,24759,10392,45097,19243,32469,26615
11,29089,109443,178400,209442,180656,66891,7233,35800,117871,96604,43260,44313
12,59239,158319,245106,213650,161460,67544,29088,20391,102274,115965,52447,38350
13,72313,181218,289166,208640,217634,87038,30410,31734,93877,102532,67105,53413
14,45921,192550,325235,203493,198510,86428,21709,12668,68622,49401,67271,50022
15,55417,208189,362479,189437,198047,90241,21660,11793,52139,34274,45859,51328
16,70900,201288,482586,188002,241871,63854,39583,12469,38783,30575,45860,41184
17,27988,123352,466728,232176,252061,46987,23362,6504,55195,29585,12377,2775
18,5180,23806,356238,251314,177798,11758,21054,3024,26782,14459,1730,9
19,0,0,171350,120771,111856,5884,7609,1590,2596,834,0,0
20,0,0,1176,22765,36565,5508,1959,450,243,10,0,0
21,0,0,0,120,159,2555,319,7,113,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0