Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,2.304,2.513548387,3.313225806,3.71332,5.005458065,8.41733,12.04956129,13.73684194,12.61010357,13.26088387,13.41580333,14.38250968,16.79334333,18.11063226,16.67316129,16.85788333,17.53259355,22.96585667
2,1.49,1.520322581,1.830967742,2.460246667,2.906958065,6.25746,10.3149871,11.1624,10.87271071,10.52510968,11.70853667,12.92584839,13.69732,15.89717419,14.02660968,13.73586333,14.32252258,19.54672333
3,0.491666667,0.814516129,1.309354839,1.58604,1.869974194,4.232833333,8.898606452,9.536,10.26788571,10.15879355,10.55645333,11.63317097,12.74960667,13.15897742,11.89463226,10.80174333,11.26586774,15.80209333
4,0.436333333,0.812903226,1.247419355,1.596086667,1.792232258,3.623053333,7.857593548,9.437677419,8.5907,8.852735484,9.290823333,10.1848871,10.64612,12.04990323,10.05687742,9.95453,10.52791613,13.48328
5,0.983666667,1.192903226,2.000645161,2.379526667,2.180290323,4.12616,8.934783871,10.37607742,9.406107143,11.84932581,13.71907333,15.65236129,16.30300333,17.39143226,15.58130645,14.44816333,16.56392581,13.77750667
6,0.745666667,1.116774194,2.507419355,2.09258,2.610625806,2.576786667,5.442145161,6.339509677,6.039896429,10.05628387,10.65809,13.93612903,17.73882667,15.63237742,13.77868387,16.55586333,23.58353226,9.79036
7,1.604666667,4.070645161,5.762903226,6.355053333,6.062016129,6.11711,7.182229032,9.442841935,10.559725,19.8645,23.06281333,32.5778129,35.45027333,35.71377419,34.79420323,38.92843333,54.37406452,25.8464
8,7.822,15.61387097,14.32032258,15.06164,14.32093548,13.30515,13.27952903,19.90674516,29.24038929,57.27890323,77.99286333,88.45035161,83.95331667,89.28265806,93.74355161,105.1523533,133.7039742,76.02743
9,5.921,10.52580645,9.349032258,9.5849,10.66062581,11.00703667,13.39061935,22.43384839,35.29561071,44.00190645,65.60674333,63.6954871,58.48859333,63.17382903,67.02678387,79.31195667,94.43592903,74.81470333
10,7.613666667,12.23580645,9.871612903,10.54277333,13.3215871,16.27004667,20.90851613,35.83703226,45.23791429,53.07189355,80.72535667,73.93843548,72.20548667,78.99427742,80.91441935,100.55632,111.4266516,108.9059467
11,8.216333333,12.07322581,11.07548387,12.43892,14.72137097,19.93814667,27.36213548,43.36762258,49.85271071,55.68210323,79.45798333,77.97967419,67.74054,79.78655806,81.81807742,100.8457833,124.0121484,125.5304533
12,3.01,4.646451613,6.280967742,6.320123333,6.399677419,9.60201,15.05929355,22.94236129,26.75981786,30.34447742,40.42319,41.09974194,36.86962667,40.80131935,46.8704129,56.71677,72.10164194,72.36292
13,4.773666667,8.042580645,9.007741935,9.996546667,10.99032258,11.49406667,16.24613548,27.04709355,30.33260357,40.58709032,56.00032,55.57031935,51.65476667,54.50487742,62.03051613,77.08815,95.25872258,95.72150667
14,7.127333333,13.18774194,12.91935484,13.95658,15.44387097,14.35508333,20.24476129,35.33754194,38.94267143,45.80141613,62.25516333,63.36259677,59.23099333,60.52380323,67.8426,90.36380333,110.8581484,108.2518133
15,4.429333333,8.487419355,7.714193548,8.605273333,8.907419355,9.467693333,11.39156452,20.30188065,22.21325357,24.9410129,32.50417333,33.48615806,32.86626,30.5226871,36.3545129,49.14126667,61.83410645,56.60895
16,5.354666667,9.364516129,8.534516129,11.83028667,10.88903226,12.88504333,16.6851,24.71998387,29.42151429,31.25038387,38.21874667,41.06927742,40.20572667,38.78274516,44.72247742,57.9563,70.34850968,75.23867333
17,5.993333333,8.516451613,7.470645161,13.04402667,11.87806452,14.47352,19.91560968,25.80117742,33.85598929,39.67821935,44.89719,46.00976452,50.59288667,52.7103,53.27889677,70.88167333,78.96926129,88.37212
18,3.504,4.903870968,4.524193548,6.85806,7.269032258,7.615643333,12.61676452,15.08716129,18.66742143,25.72160968,25.71082,26.60259355,26.17890333,29.53649355,28.0091,37.44457333,46.13485806,49.78325
19,4.107333333,6.700322581,5.652580645,7.62915,8.489032258,10.9041,17.24843871,21.1962129,28.59866429,35.03865484,36.36276333,34.54348065,35.43470667,38.48672903,35.63674839,48.69317667,61.46850645,65.46133333
20,4.529333333,11.03709677,8.153548387,10.47781,8.431290323,15.67886,24.27881613,31.8187871,38.63503214,39.33660968,38.49710667,38.83092581,46.19343,45.66398387,40.37212258,51.40492333,59.51216774,70.9895
21,3.172666667,7.322258065,6.323225806,7.612556667,6.465483871,8.726603333,14.94366452,19.32385484,23.44645,19.75785161,19.51914667,18.89453871,25.54481667,22.13678387,20.74182581,23.93505,26.19230645,33.88055667
22,3.453333333,8.248387097,8.869032258,9.735963333,8.028064516,11.54115333,18.21524516,22.90166452,24.11470714,22.02701935,21.47369,21.63864194,29.24945667,24.15261935,27.25082581,24.47949667,28.17655484,36.97549
23,2.597,5.408709677,9.074516129,9.606923333,7.669025806,13.4993,20.85819355,24.81585806,22.510675,23.3314,23.31008667,23.73596774,27.12406,25.81316774,30.86522903,26.07107333,29.9799129,39.36100667
24,1.065666667,2.222903226,4.125483871,4.365063333,4.35223871,7.51062,10.7528,12.95842258,11.88345357,12.0396871,12.14695,12.39789032,14.36878333,14.78507419,15.12174516,13.42173333,15.9813871,19.76962667