Hr,Jul_11_18_LR,Jul_31_18_LR,Aug_30_18_LR,Sep_27_18_LR,Oct_16_18_LS,Oct_30_18_LS,Nov_14_18_LS,Nov_28_18_LS
1,2.8605,2.982,1.884,3.004,0,0,16.856,6.188
2,0.015,0.044,1.104,0.298,0,0,4.208,2.584
3,0.0225,0,0.066666667,0,0,0,0,0
4,0.0225,0,0,0,0,0,0,0
5,0.0225,0,0,0,0,0,0,0
6,0.015,0,0,0,0,0,0,0
7,0.0225,0,0,0,0,0,0,0
8,0.015,0,0,0,0,0,0,0
9,1.699,0,0,0,0,0,2.184,0
10,1.833,1.304,0,1.872,0,0,1.7,0
11,0.1485,3.006,0,3.344,0,0,0.032,0.76
12,0.277,3.368,0,6.02,0,0,4.696,0
13,2.605,1.668,0,5.72,0,0,1.024,0
14,2.9505,1.474,0,0.312,0,0,0,1.2
15,0.917,0.642,0.092,0,0,0,3.584,3.748
16,0.015,0.866,1.786666667,2.398,0,0,0,5.9
17,0.4425,4.788,1.230666667,0.944,0,0,0,8.572
18,2.8945,4.624,1.230666667,3.326,0,0,0,7.864
19,2.2965,4.628,1.686666667,7.088,0,0,0,6.296
20,2.9645,5.08,1.961333333,8.572,0,0,2.06,6.624
21,0.607,4.44,3.442666667,5.978,0,0,0,12.472
22,0.0225,3.13,5.512,4.054,0,0,4.996,12.536
23,0.0225,3.122,4.125333333,4.844,0,0,0,9.2
24,2.1525,3.02,3.08,3.052,0,0,24.608,7.06